FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_5,P4_1_1,P4_1_2,P4_1_3,ENT
2582,4,1,3,1,2,2,2,2,1,2,1,1,1,1,12
2583,6,3,3,1,2,2,2,2,1,2,1,1,1,2,24
2584,5,2,3,1,2,2,1,2,1,2,2,2,2,2,27
2585,4,2,2,1,2,2,2,2,2,2,6,1,2,1,14
2586,4,1,3,1,2,2,2,2,1,2,1,1,1,2,7
2587,3,1,2,2,,,,,,,,,,,26
2588,5,2,3,1,2,2,2,2,1,1,,1,1,2,29
2589,1,1,0,2,,,,,,,,,,,24
2590,4,3,1,1,2,1,2,1,1,1,,4,4,4,20
2591,5,3,2,1,2,1,2,2,1,2,1,1,1,1,32
2592,3,1,2,1,2,2,1,2,1,2,2,1,2,2,15
2593,2,1,1,2,,,,,,,,,,,8
2594,5,3,2,1,2,1,2,2,1,2,1,1,1,2,29
2595,6,2,4,1,2,1,1,2,1,2,9,3,1,1,11
2596,3,1,2,1,1,2,1,2,1,1,,1,1,1,29
2597,7,3,4,1,2,2,1,2,1,1,,1,1,1,19
2598,3,1,2,1,1,1,1,2,1,1,,1,2,4,2
2599,4,2,2,1,2,1,1,2,1,1,,4,1,4,18
2600,4,2,2,1,2,2,2,2,1,2,1,1,1,1,29
2601,7,5,2,1,2,2,1,2,1,1,,1,1,2,1
2602,2,1,1,2,,,,,,,,,,,13
2603,8,4,4,1,2,2,1,2,1,1,,3,1,4,25
2604,11,7,4,1,2,2,1,2,1,1,,2,3,3,21
2605,2,0,2,1,2,2,2,2,1,1,,1,1,1,29
2606,6,4,2,1,2,1,1,2,1,1,,1,1,2,15
2607,1,0,1,2,,,,,,,,,,,19
2608,6,3,3,1,1,2,1,2,1,1,,1,1,1,16
2609,4,1,3,1,2,2,2,1,1,1,,1,1,1,18
2610,5,2,3,2,,,,,,,,,,,17
2611,5,2,3,1,2,2,1,2,1,1,,1,1,1,27
2612,1,0,1,2,,,,,,,,,,,17
2613,1,0,1,2,,,,,,,,,,,15
2614,3,1,2,1,2,1,2,2,1,2,1,1,1,1,16
2615,5,3,2,1,2,2,2,2,1,2,1,2,2,2,5
2616,5,2,3,1,2,2,2,2,1,2,6,1,1,2,2
2617,3,2,1,2,,,,,,,,,,,24
2618,4,1,3,1,2,1,1,2,1,1,,1,1,1,4
2619,4,3,1,1,2,1,1,2,1,1,,1,2,1,5
2620,4,2,2,2,,,,,,,,,,,23
2621,2,1,1,2,,,,,,,,,,,12
2622,2,1,1,1,2,1,1,1,1,1,,1,2,2,27
2623,7,4,3,1,1,1,1,1,1,1,,1,2,2,29
2624,4,2,2,2,,,,,,,,,,,18
2625,6,2,4,1,2,2,1,2,1,1,,1,1,1,20
2626,6,5,1,1,2,2,2,2,1,1,,2,2,2,3
2627,2,1,1,1,2,2,2,2,1,2,1,1,1,1,19
2628,4,1,3,1,1,2,1,1,1,1,,2,2,2,5
2629,3,1,2,1,2,2,1,2,1,1,,1,1,1,12
2630,5,2,3,1,2,2,2,2,1,2,2,1,2,2,1
2631,3,2,1,1,1,1,1,1,1,1,,1,1,1,21
2632,4,2,2,1,1,1,1,2,2,1,,1,2,1,22
2633,4,1,3,1,2,2,2,2,1,1,,1,3,1,17
2634,2,1,1,2,,,,,,,,,,,29
2635,3,2,1,1,1,1,1,1,1,1,,2,1,1,16
2636,3,1,2,2,,,,,,,,,,,27
2637,4,2,2,1,2,2,1,2,1,2,7,1,1,1,11
2638,3,2,1,1,2,1,1,1,1,1,,2,3,1,16
2639,2,0,2,1,2,2,2,2,1,2,1,2,2,2,20
2640,4,1,3,1,2,2,1,2,1,1,,2,1,2,5
2641,1,1,0,2,,,,,,,,,,,23
2642,5,4,1,1,1,2,1,2,1,1,,1,1,1,6
2643,3,1,2,2,,,,,,,,,,,9
2644,4,2,2,1,1,1,1,1,1,1,,1,1,1,20
2645,4,1,3,1,1,1,1,1,1,1,,1,1,1,3
2646,2,1,1,1,1,1,1,1,1,1,,1,1,2,3
2647,5,2,3,1,1,2,2,2,1,1,,1,1,1,28
2648,4,1,3,1,2,2,1,1,1,1,,1,2,2,3
2649,1,0,1,2,,,,,,,,,,,16
2650,4,1,3,1,2,2,1,2,1,1,,3,4,1,15
2651,6,2,4,1,2,2,2,2,1,2,1,1,2,2,21
2652,3,1,2,2,,,,,,,,,,,2
2653,4,3,1,1,2,1,1,2,1,1,,2,2,1,28
2654,4,3,1,1,2,2,1,2,1,2,1,1,1,2,20
2655,6,4,2,1,2,2,1,1,1,1,,1,1,1,18
2656,3,2,1,1,2,2,1,2,1,1,,1,1,1,6
2657,2,1,1,2,,,,,,,,,,,3
2658,3,2,1,1,2,1,2,2,1,1,,2,4,4,18
2659,6,2,4,1,2,2,1,2,1,2,1,1,1,1,29
2660,2,1,1,2,,,,,,,,,,,10
2661,6,3,3,1,2,2,1,2,1,1,,1,1,1,29
2662,6,3,3,1,2,1,1,2,1,2,1,1,1,1,1
2663,6,4,2,1,2,2,2,2,1,2,1,1,1,1,20
2664,4,1,3,1,2,1,1,1,1,1,,1,1,1,18
2665,3,2,1,2,,,,,,,,,,,24
2666,4,3,1,1,2,2,1,2,1,1,,2,1,3,3
2667,2,1,1,2,,,,,,,,,,,30
2668,7,3,4,1,2,1,1,2,1,1,,2,2,2,8
2669,2,1,1,2,,,,,,,,,,,9
2670,2,1,1,2,,,,,,,,,,,6
2671,5,3,2,1,2,2,1,2,1,2,1,1,1,1,13
2672,3,2,1,1,2,2,1,2,1,2,1,1,1,1,7
2673,5,2,3,1,2,2,2,2,1,1,,1,1,1,14
2674,3,1,2,1,2,1,1,2,1,2,2,1,1,3,8
2675,1,1,0,2,,,,,,,,,,,23
2676,2,0,2,1,2,1,1,2,1,1,,1,1,1,23
2677,7,2,5,1,2,2,1,2,1,1,,1,1,1,16
2678,1,1,0,2,,,,,,,,,,,14
2679,2,1,1,2,,,,,,,,,,,14
2680,3,1,2,2,,,,,,,,,,,14
2681,4,2,2,1,2,2,2,2,1,1,,1,2,4,2
2682,3,1,2,1,2,1,2,2,1,1,,1,1,1,14
2683,3,2,1,1,2,1,1,2,1,1,,1,1,1,2
2684,5,2,3,1,2,1,1,2,1,1,,1,1,1,13
2685,1,1,0,2,,,,,,,,,,,25
2686,4,2,2,1,2,2,2,2,1,1,,2,2,3,9
2687,2,1,1,2,,,,,,,,,,,16
2688,2,1,1,2,,,,,,,,,,,14
2689,2,1,1,2,,,,,,,,,,,7
2690,4,2,2,1,1,1,1,2,1,1,,1,1,1,7
2691,5,2,3,1,2,1,1,2,1,2,1,1,1,2,32
2692,2,0,2,2,,,,,,,,,,,12
2693,2,0,2,1,2,2,2,2,1,1,,1,1,1,13
2694,5,2,3,1,2,2,2,2,1,2,1,1,1,1,13
2695,1,0,1,2,,,,,,,,,,,32
2696,2,1,1,2,,,,,,,,,,,7
2697,4,2,2,1,2,2,2,2,1,2,1,1,1,1,13
2698,5,2,3,1,2,2,1,2,1,2,1,2,1,1,25
2699,5,3,2,1,2,1,1,2,1,1,,3,3,1,8
2700,4,1,3,1,1,1,1,1,1,1,,1,1,1,27
2701,4,2,2,1,2,2,2,2,1,2,1,2,1,1,13
2702,1,0,1,2,,,,,,,,,,,6
2703,3,1,2,1,2,2,1,1,1,1,,2,1,3,16
2704,3,2,1,1,1,2,1,2,1,1,,1,1,3,4
2705,3,1,2,1,2,1,2,2,1,1,,1,1,2,16
2706,2,0,2,1,2,1,1,2,2,1,,1,1,1,6
2707,5,2,3,1,1,1,1,1,1,1,,1,1,1,25
2708,5,2,3,1,2,1,1,2,1,1,,2,1,3,25
2709,5,2,3,1,2,2,2,2,1,2,1,1,1,1,25
2710,2,0,2,1,2,1,1,1,1,1,,4,2,4,25
2711,4,3,1,1,2,2,1,1,1,1,,1,1,1,19
2712,5,3,2,1,2,1,2,2,1,1,,1,1,2,12
2713,3,2,1,1,2,1,1,1,1,1,,1,1,1,25
2714,1,1,0,2,,,,,,,,,,,13
2715,4,2,2,1,2,1,2,2,1,1,,1,1,1,22
2716,1,0,1,2,,,,,,,,,,,23
2717,3,1,2,1,1,2,1,2,1,1,,1,1,3,8
2718,2,1,1,1,1,2,2,2,1,1,,1,1,1,25
2719,3,1,2,1,2,2,1,2,1,1,,2,3,3,22
2720,1,1,0,2,,,,,,,,,,,9
2721,4,1,3,1,1,1,1,1,1,1,,1,1,1,25
2722,1,0,1,2,,,,,,,,,,,25
2723,5,2,3,1,1,1,1,1,1,1,,1,1,1,9
2724,4,2,2,2,,,,,,,,,,,13
2725,2,2,0,2,,,,,,,,,,,3
2726,3,2,1,1,2,1,2,2,1,2,2,2,2,3,13
2727,2,1,1,2,,,,,,,,,,,13
2728,2,1,1,2,,,,,,,,,,,12
2729,5,4,1,1,2,2,1,1,1,1,,1,1,1,12
2730,3,2,1,2,,,,,,,,,,,15
2731,4,1,3,1,2,2,2,2,1,2,1,2,3,3,13
2732,6,4,2,1,2,1,2,2,1,1,,1,1,1,23
2733,3,1,2,1,2,2,1,2,1,2,2,1,2,2,31
2734,2,2,0,1,1,2,1,2,1,1,,1,1,1,18
2735,3,2,1,1,1,2,1,2,1,1,,1,2,1,9
2736,4,3,1,1,1,1,1,2,1,1,,1,1,1,7
2737,4,1,3,1,1,1,1,2,1,1,,1,1,1,7
2738,4,2,2,1,2,1,1,1,1,1,,1,1,3,7
2739,4,2,2,1,2,2,1,2,1,2,1,1,1,1,7
2740,5,4,1,1,2,2,2,2,1,2,1,1,1,1,7
2741,3,0,3,2,,,,,,,,,,,25
2742,7,5,2,1,2,2,1,2,1,1,,3,2,2,21
2743,6,3,3,1,1,1,1,1,1,1,,1,1,2,2
2744,2,1,1,2,,,,,,,,,,,24
2745,4,3,1,1,2,2,1,2,1,2,1,1,1,1,31
2746,8,3,5,1,2,2,1,2,1,1,,1,1,1,7
2747,7,4,3,1,2,2,2,2,1,2,1,1,1,1,16
2748,4,1,3,1,2,2,1,2,1,1,,1,1,1,18
2749,3,2,1,1,1,1,1,2,1,1,,2,2,4,23
2750,5,2,3,1,2,2,1,2,1,2,1,1,2,1,30
2751,2,2,0,1,2,2,2,2,1,1,,2,2,3,12
2752,1,0,1,2,,,,,,,,,,,6
2753,1,0,1,2,,,,,,,,,,,12
2754,4,2,2,2,,,,,,,,,,,15
2755,6,4,2,1,2,2,1,1,1,1,,1,1,2,3
2756,4,2,2,1,1,2,1,2,1,1,,1,2,2,27
2757,5,1,4,1,2,2,1,2,1,1,,1,1,1,15
2758,3,2,1,1,1,2,1,1,1,1,,3,4,3,20
2759,4,1,3,1,2,2,1,1,1,2,1,1,1,2,30
2760,4,3,1,1,2,2,2,1,1,2,1,1,2,2,30
2761,2,1,1,1,2,2,1,2,1,1,,2,2,2,21
2762,2,1,1,2,,,,,,,,,,,27
2763,3,1,2,2,,,,,,,,,,,32
2764,4,2,2,1,2,1,1,2,1,1,,2,2,2,30
2765,7,2,5,1,2,2,1,2,1,2,1,1,1,1,30
2766,5,2,3,1,2,2,1,1,1,2,1,1,1,2,32
2767,2,0,2,2,,,,,,,,,,,2
2768,1,0,1,2,,,,,,,,,,,17
2769,3,2,1,1,2,1,1,2,1,1,,2,2,2,2
2770,2,2,0,1,2,2,1,2,1,1,,1,1,1,5
2771,5,2,3,1,1,2,2,2,1,1,,1,1,2,16
2772,5,4,1,1,2,2,2,2,1,2,2,2,2,3,26
2773,3,1,2,1,2,2,1,1,1,1,,1,1,1,17
2774,5,1,4,1,2,2,1,1,1,2,1,1,1,1,4
2775,2,1,1,2,,,,,,,,,,,2
2776,3,1,2,1,2,1,1,1,1,1,,1,1,1,21
2777,2,1,1,2,,,,,,,,,,,21
2778,5,2,3,1,2,2,1,2,1,2,1,1,1,3,5
2779,3,2,1,2,,,,,,,,,,,21
2780,5,3,2,1,2,1,1,1,1,1,,2,2,2,4
2781,2,1,1,1,2,1,2,2,1,1,,1,1,1,16
2782,3,1,2,1,2,2,1,1,1,1,,3,3,2,6
2783,6,1,5,1,1,1,2,2,1,1,,1,2,2,17
2784,2,1,1,2,,,,,,,,,,,2
2785,2,2,0,2,,,,,,,,,,,3
2786,2,1,1,2,,,,,,,,,,,2
2787,4,2,2,1,1,1,1,2,1,1,,1,1,3,26
2788,2,0,2,2,,,,,,,,,,,26
2789,3,1,2,2,,,,,,,,,,,17
2790,2,1,1,2,,,,,,,,,,,17
2791,3,1,2,2,,,,,,,,,,,19
2792,5,2,3,1,2,2,1,2,1,2,2,1,1,3,31
2793,4,2,2,1,2,2,1,2,1,2,1,1,1,3,17
2794,2,1,1,2,,,,,,,,,,,19
2795,1,0,1,2,,,,,,,,,,,17
2796,12,5,7,1,2,1,1,1,1,1,,1,1,3,19
2797,5,4,1,1,2,2,2,2,1,1,,1,1,9,4
2798,2,1,1,2,,,,,,,,,,,17
2799,2,1,1,2,,,,,,,,,,,4
2800,8,7,1,2,,,,,,,,,,,4
2801,3,1,2,1,1,1,1,2,1,1,,1,3,4,4
2802,2,1,1,2,,,,,,,,,,,21
2803,1,0,1,2,,,,,,,,,,,17
2804,6,3,3,1,1,2,1,1,1,1,,1,1,1,6
2805,2,0,2,1,2,1,1,2,1,1,,1,1,1,28
2806,7,5,2,1,2,1,2,2,2,2,1,1,1,2,29
2807,3,1,2,1,2,2,2,2,2,2,2,2,2,2,1
2808,1,1,0,2,,,,,,,,,,,29
2809,2,1,1,2,,,,,,,,,,,11
2810,3,1,2,1,2,2,1,2,1,2,1,1,1,1,29
2811,2,1,1,2,,,,,,,,,,,29
2812,2,1,1,1,1,2,1,2,1,1,,1,1,2,28
2813,5,3,2,1,2,2,2,2,1,1,,2,2,3,27
2814,2,1,1,2,,,,,,,,,,,21
2815,3,2,1,1,2,2,1,2,1,1,,1,1,1,21
2816,4,2,2,1,2,2,2,2,1,2,1,2,1,3,20
2817,3,1,2,2,,,,,,,,,,,29
2818,2,2,0,2,,,,,,,,,,,11
2819,3,2,1,1,2,2,1,2,1,1,,3,2,3,26
2820,3,1,2,1,2,2,1,2,1,1,,1,1,1,29
2821,2,1,1,1,1,1,2,2,1,1,,2,2,2,3
2822,3,2,1,2,,,,,,,,,,,11
2823,5,4,1,1,2,1,2,1,1,1,,1,1,1,29
2824,4,2,2,1,2,2,2,2,1,2,1,1,1,1,11
2825,2,1,1,2,,,,,,,,,,,11
2826,4,2,2,1,2,1,1,2,1,1,,1,1,1,3
2827,2,0,2,1,2,2,2,2,1,2,1,2,3,2,27
2828,7,3,4,1,2,2,1,2,1,1,,2,1,2,27
2829,4,2,2,1,2,1,1,2,1,1,,1,1,1,13
2830,7,2,5,1,1,2,2,2,1,1,,2,2,2,20
2831,5,3,2,1,2,2,1,2,1,1,,1,1,1,21
2832,6,3,3,1,2,2,1,2,1,1,,2,2,3,29
2833,7,4,3,1,2,2,1,2,1,1,,1,1,2,29
2834,4,2,2,1,1,1,1,1,1,1,,1,2,2,29
2835,4,2,2,1,2,2,1,2,1,2,1,2,2,2,27
2836,1,0,1,2,,,,,,,,,,,17
2837,2,1,1,2,,,,,,,,,,,17
2838,1,1,0,2,,,,,,,,,,,26
2839,3,1,2,1,1,2,1,2,1,1,,1,1,1,29
2840,3,2,1,1,2,2,1,1,1,1,,2,3,3,27
2841,4,3,1,1,2,1,1,1,1,1,,1,1,1,31
2842,6,3,3,1,2,2,1,2,1,2,1,1,1,1,21
2843,7,3,4,1,1,2,1,2,1,1,,3,2,3,27
2844,5,3,2,1,2,1,2,2,1,1,,2,2,2,11
2845,4,3,1,1,2,2,1,2,1,1,,1,1,1,29
2846,7,4,3,1,2,2,2,2,1,2,1,1,1,1,29
2847,5,3,2,2,,,,,,,,,,,29
2848,3,2,1,1,1,1,1,2,1,2,1,2,1,1,29
2849,2,1,1,2,,,,,,,,,,,21
2850,7,4,3,1,2,2,2,2,1,2,1,2,2,2,20
2851,3,2,1,2,,,,,,,,,,,17
2852,4,2,2,1,2,2,2,2,1,2,1,1,2,1,4
2853,4,3,1,1,1,1,1,2,1,2,1,1,1,1,4
2854,6,2,4,1,2,2,2,2,2,2,6,1,1,4,26
2855,4,1,3,1,2,2,1,1,1,1,,1,1,1,26
2856,4,2,2,1,2,2,2,2,1,1,,1,1,1,20
2857,3,2,1,1,2,1,1,1,1,1,,2,2,2,3
2858,5,1,4,1,2,1,1,2,1,2,5,1,1,1,31
2859,3,2,1,1,1,2,1,2,1,1,,1,1,2,21
2860,2,1,1,2,,,,,,,,,,,1
2861,4,2,2,1,2,1,2,2,1,1,,2,2,3,11
2862,1,0,1,2,,,,,,,,,,,18
2863,3,1,2,2,,,,,,,,,,,15
2864,4,2,2,1,2,1,1,2,1,1,,1,1,2,27
2865,4,1,3,1,2,2,1,2,1,2,1,1,1,1,32
2866,1,1,0,2,,,,,,,,,,,8
2867,4,2,2,2,,,,,,,,,,,2
2868,4,2,2,1,2,1,1,2,1,1,,1,1,1,26
2869,8,6,2,1,2,1,1,2,1,1,,1,1,1,19
2870,4,2,2,1,2,2,2,1,1,1,,1,1,1,16
2871,4,2,2,1,1,2,1,2,1,1,,1,1,1,26
2872,1,0,1,2,,,,,,,,,,,24
2873,3,2,1,1,2,2,1,2,1,2,2,1,1,1,31
2874,6,3,3,1,2,1,1,1,1,1,,2,2,2,27
2875,2,2,0,2,,,,,,,,,,,5
2876,5,2,3,1,2,1,1,1,1,1,,1,1,3,1
2877,7,3,4,1,2,1,2,2,1,1,,1,1,1,18
2878,4,2,2,2,,,,,,,,,,,26
2879,3,1,2,1,2,1,2,2,1,1,,1,1,2,24
2880,8,6,2,1,2,2,2,2,1,1,,2,1,1,15
2881,3,2,1,1,2,2,1,2,1,1,,1,1,4,21
2882,8,4,4,1,2,1,1,2,1,1,,3,2,2,13
2883,2,1,1,2,,,,,,,,,,,17
2884,5,3,2,1,2,2,1,1,1,1,,1,1,1,17
2885,4,3,1,1,2,1,1,1,1,1,,1,1,1,8
2886,4,1,3,2,,,,,,,,,,,7
2887,1,1,0,1,2,2,1,2,1,1,,1,1,1,2
2888,1,1,0,2,,,,,,,,,,,13
2889,5,2,3,1,2,1,1,2,1,1,,1,1,2,10
2890,5,1,4,1,2,1,2,1,1,1,,2,4,1,3
2891,2,1,1,2,,,,,,,,,,,15
2892,2,1,1,2,,,,,,,,,,,25
2893,3,1,2,1,2,2,1,2,1,1,,1,1,1,30
2894,5,2,3,1,1,1,1,1,1,1,,1,1,1,10
2895,2,1,1,2,,,,,,,,,,,6
2896,5,4,1,1,1,1,1,2,1,1,,1,2,1,16
2897,2,1,1,2,,,,,,,,,,,15
2898,3,1,2,1,1,1,1,2,1,1,,2,2,1,9
2899,6,3,3,1,1,2,2,2,1,1,,1,1,1,16
2900,6,2,4,1,2,1,2,2,1,1,,1,1,1,18
2901,2,1,1,2,,,,,,,,,,,16
2902,4,3,1,1,2,2,1,2,1,1,,1,1,1,13
2903,8,3,5,1,2,2,1,2,1,2,1,1,1,1,30
2904,1,1,0,1,1,2,1,1,1,1,,1,1,1,10
2905,3,1,2,1,2,1,1,2,2,2,6,1,1,1,15
2906,4,3,1,1,2,2,2,2,1,2,1,1,2,2,5
2907,3,1,2,1,2,2,1,2,1,1,,1,1,3,1
2908,2,1,1,1,2,1,1,2,1,1,,1,1,1,15
2909,5,2,3,1,2,2,1,2,1,1,,1,1,1,17
2910,4,2,2,1,2,1,1,2,1,1,,1,1,2,15
2911,1,1,0,2,,,,,,,,,,,18
2912,5,2,3,1,2,2,1,2,1,2,1,1,1,1,15
2913,4,2,2,2,,,,,,,,,,,15
2914,4,1,3,1,2,1,1,2,1,1,,1,1,4,10
2915,5,3,2,1,2,2,2,1,1,1,,1,1,1,21
2916,5,1,4,2,,,,,,,,,,,30
2917,4,1,3,1,2,1,1,2,1,1,,1,1,3,23
2918,5,4,1,1,2,2,1,2,1,1,,1,2,1,15
2919,3,2,1,2,,,,,,,,,,,24
2920,6,2,4,2,,,,,,,,,,,25
2921,4,2,2,2,,,,,,,,,,,13
2922,6,4,2,1,1,1,1,1,1,1,,1,2,2,9
2923,1,1,0,2,,,,,,,,,,,11
2924,4,2,2,1,2,1,1,2,1,1,,3,2,2,23
2925,5,4,1,1,2,1,1,2,1,1,,1,1,1,28
2926,2,1,1,2,,,,,,,,,,,6
2927,5,3,2,1,2,2,1,2,1,2,1,1,1,1,5
2928,7,4,3,1,2,1,1,1,1,1,,1,1,2,22
2929,5,2,3,1,2,1,1,2,1,1,,1,1,1,8
2930,3,2,1,1,2,2,2,2,1,1,,1,1,1,5
2931,7,3,4,2,,,,,,,,,,,26
2932,2,1,1,2,,,,,,,,,,,2
2933,5,2,3,1,2,2,1,2,2,2,1,1,1,1,32
2934,6,4,2,1,2,2,1,2,1,1,,1,1,1,27
2935,12,5,7,1,2,2,2,2,1,1,,1,1,1,2
2936,1,0,1,2,,,,,,,,,,,26
2937,3,1,2,1,2,1,1,2,1,1,,1,1,1,9
2938,2,1,1,1,2,2,1,2,1,1,,1,1,2,15
2939,5,3,2,1,1,2,1,2,1,1,,1,1,1,5
2940,3,2,1,2,,,,,,,,,,,32
2941,5,3,2,1,2,2,1,2,1,2,1,1,1,1,17
2942,5,2,3,1,2,1,1,1,1,2,6,1,1,1,18
2943,6,4,2,1,2,1,1,1,1,1,,2,3,3,9
2944,1,1,0,2,,,,,,,,,,,9
2945,4,2,2,1,2,2,1,2,2,2,1,1,1,1,7
2946,2,1,1,2,,,,,,,,,,,14
2947,3,2,1,1,2,1,1,2,1,1,,2,3,3,29
2948,2,2,0,2,,,,,,,,,,,8
2949,8,2,6,1,2,2,1,2,1,1,,1,1,1,30
2950,2,1,1,2,,,,,,,,,,,2
2951,4,2,2,1,2,2,1,2,1,2,1,1,1,1,14
2952,4,2,2,1,2,1,1,2,1,1,,1,1,1,8
2953,7,3,4,1,2,1,1,2,1,1,,1,1,1,14
2954,2,1,1,2,,,,,,,,,,,2
2955,5,2,3,1,1,1,1,1,1,1,,1,1,1,21
2956,2,0,2,2,,,,,,,,,,,24
2957,4,2,2,1,2,2,1,2,1,1,,1,1,2,10
2958,3,2,1,2,,,,,,,,,,,30
2959,2,1,1,2,,,,,,,,,,,9
2960,4,1,3,2,,,,,,,,,,,25
2961,5,3,2,1,2,1,2,2,1,1,,1,1,1,20
2962,2,1,1,2,,,,,,,,,,,14
2963,5,3,2,1,2,1,1,2,1,1,,2,2,2,11
2964,1,0,1,1,1,1,1,2,1,1,,1,1,1,20
2965,4,2,2,1,2,1,1,1,1,1,,1,2,3,27
2966,5,2,3,1,1,1,1,2,1,1,,1,1,1,22
2967,3,1,2,1,2,1,1,1,1,1,,2,1,1,3
2968,1,1,0,2,,,,,,,,,,,12
2969,2,0,2,2,,,,,,,,,,,30
2970,4,2,2,1,2,1,1,2,1,1,,1,2,3,14
2971,2,2,0,1,1,1,1,2,1,1,,1,1,2,21
2972,3,1,2,2,,,,,,,,,,,7
2973,1,0,1,2,,,,,,,,,,,17
2974,1,1,0,2,,,,,,,,,,,7
2975,1,1,0,2,,,,,,,,,,,22
2976,3,1,2,1,2,2,1,2,1,1,,2,1,1,30
2977,2,1,1,2,,,,,,,,,,,8
2978,4,2,2,1,2,2,1,2,1,1,,1,1,2,3
2979,4,2,2,1,2,1,1,2,1,1,,1,1,1,6
2980,3,1,2,1,2,2,1,1,1,1,,2,1,2,8
2981,4,0,4,1,2,2,1,2,1,1,,2,2,2,6
2982,2,1,1,2,,,,,,,,,,,8
2983,5,3,2,1,2,2,2,2,1,2,1,3,2,2,21
2984,2,0,2,1,2,2,1,2,1,1,,2,2,2,27
2985,1,1,0,2,,,,,,,,,,,3
2986,4,3,1,1,2,2,2,2,1,1,,1,1,1,18
2987,4,3,1,2,,,,,,,,,,,14
2988,4,1,3,1,2,2,2,2,1,2,1,2,2,2,8
2989,3,1,2,2,,,,,,,,,,,10
2990,4,2,2,1,1,1,1,1,1,1,,1,1,1,21
2991,5,4,1,1,2,1,1,1,1,1,,1,1,1,17
2992,5,2,3,1,2,2,1,2,1,1,,1,1,2,21
2993,5,2,3,1,2,2,1,2,2,2,1,1,1,2,7
2994,3,2,1,1,1,2,1,2,1,1,,1,2,1,20
2995,2,1,1,2,,,,,,,,,,,1
2996,4,2,2,1,2,1,1,2,1,1,,2,1,2,23
2997,5,2,3,1,2,2,1,2,1,1,,1,1,1,30
2998,2,1,1,2,,,,,,,,,,,20
2999,5,4,1,1,2,1,2,2,1,1,,1,1,1,7
3000,6,2,4,1,2,1,2,2,2,1,,1,1,1,14
3001,3,1,2,1,2,1,1,2,1,1,,1,1,2,7
3002,1,1,0,2,,,,,,,,,,,2
3003,8,4,4,1,2,2,1,2,1,2,1,1,1,1,12
3004,2,1,1,2,,,,,,,,,,,12
3005,10,6,4,1,2,2,1,2,1,1,,1,1,2,7
3006,6,2,4,1,1,1,1,2,1,2,6,2,1,1,18
3007,1,0,1,2,,,,,,,,,,,18
3008,1,1,0,2,,,,,,,,,,,11
3009,5,1,4,1,1,1,2,2,1,1,,1,1,2,25
3010,3,1,2,1,2,1,1,1,1,1,,1,1,4,16
3011,4,1,3,1,2,1,2,2,1,1,,3,2,3,20
3012,4,2,2,1,2,1,1,1,1,1,,1,1,3,22
3013,5,2,3,1,2,2,1,2,1,2,1,1,1,1,17
3014,5,2,3,1,2,1,1,2,1,1,,1,1,1,32
3015,4,2,2,1,2,2,1,2,1,2,1,1,2,2,29
3016,2,1,1,2,,,,,,,,,,,8
3017,3,0,3,1,2,2,1,2,1,2,1,1,1,1,11
3018,2,0,2,1,2,2,1,2,1,2,9,3,1,2,30
3019,4,2,2,1,1,1,1,2,1,1,,1,1,1,1
3020,2,0,2,1,2,1,1,2,1,1,,1,1,1,27
3021,4,1,3,2,,,,,,,,,,,2
3022,5,3,2,1,2,1,1,1,1,1,,1,1,1,6
3023,2,1,1,2,,,,,,,,,,,5
3024,4,3,1,2,,,,,,,,,,,15
3025,4,1,3,1,1,2,1,2,2,1,,2,1,1,7
3026,4,2,2,1,2,1,1,1,1,1,,1,1,3,22
3027,7,5,2,1,1,1,1,1,1,1,,1,1,1,17
3028,5,2,3,1,2,1,1,1,1,1,,1,1,1,26
3029,1,1,0,2,,,,,,,,,,,8
3030,5,2,3,2,,,,,,,,,,,3
3031,5,3,2,1,2,1,1,2,1,1,,1,1,1,21
3032,1,1,0,2,,,,,,,,,,,8
3033,4,1,3,1,2,1,1,1,1,1,,2,2,2,29
3034,4,2,2,1,2,2,1,1,1,1,,1,1,2,15
3035,1,1,0,2,,,,,,,,,,,17
3036,3,1,2,1,2,1,2,2,1,1,,1,2,2,3
3037,7,4,3,1,2,1,1,2,1,1,,3,1,1,17
3038,5,3,2,1,2,2,1,1,1,1,,1,1,1,10
3039,2,1,1,2,,,,,,,,,,,30
3040,1,0,1,2,,,,,,,,,,,29
3041,1,0,1,2,,,,,,,,,,,31
3042,4,2,2,1,1,1,2,2,1,1,,2,2,2,29
3043,2,1,1,2,,,,,,,,,,,18
3044,6,4,2,2,,,,,,,,,,,21
3045,5,3,2,1,2,2,1,2,1,1,,2,2,1,20
3046,3,1,2,1,2,1,1,2,1,1,,1,1,1,15
3047,3,2,1,2,,,,,,,,,,,1
3048,2,1,1,2,,,,,,,,,,,1
3049,1,1,0,2,,,,,,,,,,,7
3050,7,4,3,1,2,2,1,2,1,1,,1,1,1,10
3051,4,2,2,1,1,1,1,2,1,1,,2,2,2,22
3052,1,1,0,2,,,,,,,,,,,7
3053,6,4,2,1,2,1,1,2,1,1,,1,1,3,16
3054,5,2,3,2,,,,,,,,,,,25
3055,4,2,2,1,1,1,1,1,1,1,,1,1,1,10
3056,5,2,3,1,2,2,2,2,1,1,,1,2,3,6
3057,2,1,1,2,,,,,,,,,,,25
