FOLIO,P1_1,P1_2_1,P1_2_2,P1_3,P1_4_1,P1_4_2,P1_4_3,P1_4_4,P1_4_5,P1_4_6,P1_5,P4_1_1,P4_1_2,P4_1_3,ENT
14056,3,2,1,1,2,1,1,1,1,1,,1,1,2,30
14057,2,1,1,2,,,,,,,,,,,30
14058,1,1,0,1,2,2,2,2,1,2,1,1,1,2,30
14059,6,2,4,1,2,2,1,2,1,2,1,1,1,1,30
14060,2,1,1,2,,,,,,,,,,,27
14061,2,1,1,2,,,,,,,,,,,30
14062,5,1,4,1,2,1,1,1,1,1,,2,1,1,15
14063,1,0,1,2,,,,,,,,,,,15
14064,4,2,2,2,,,,,,,,,,,30
14065,6,2,4,1,2,2,1,2,1,1,,2,2,2,12
14066,1,0,1,2,,,,,,,,,,,32
14067,5,1,4,1,1,2,1,2,1,1,,1,2,1,6
14068,1,0,1,2,,,,,,,,,,,12
14069,5,1,4,1,2,2,2,2,1,2,1,2,1,2,15
14070,5,3,2,1,1,2,1,2,1,1,,1,1,2,27
14071,2,1,1,2,,,,,,,,,,,20
14072,5,2,3,1,2,2,1,2,1,1,,1,1,1,30
14073,3,2,1,1,2,1,1,2,1,1,,1,1,1,2
14074,4,0,4,1,2,2,2,2,1,1,,1,2,2,16
14075,5,3,2,1,2,1,1,2,1,1,,2,2,2,30
14076,4,2,2,1,1,1,1,2,1,1,,1,1,1,19
14077,4,1,3,1,2,2,2,2,1,1,,1,2,2,27
14078,3,1,2,1,1,2,1,1,1,2,1,1,2,1,16
14079,6,3,3,1,2,2,1,2,1,2,1,1,1,1,27
14080,7,2,5,1,1,1,1,1,1,1,,1,1,1,32
14081,2,1,1,2,,,,,,,,,,,26
14082,3,1,2,1,2,1,1,2,1,2,6,1,1,2,19
14083,4,2,2,1,2,2,2,2,1,1,,1,1,2,15
14084,8,5,3,1,1,2,1,2,1,1,,1,1,2,15
14085,4,3,1,1,2,1,1,2,1,1,,1,1,1,15
14086,3,2,1,1,2,1,1,2,1,1,,2,1,1,26
14087,1,1,0,2,,,,,,,,,,,26
14088,6,5,1,1,1,2,1,1,1,1,,1,1,1,19
14089,7,3,4,1,2,1,1,2,1,1,,2,3,3,17
14090,3,1,2,2,,,,,,,,,,,19
14091,3,1,2,1,2,1,1,1,1,1,,2,2,2,2
14092,2,1,1,2,,,,,,,,,,,2
14093,7,4,3,1,2,1,1,2,1,1,,1,1,1,17
14094,2,1,1,2,,,,,,,,,,,20
14095,9,3,6,1,2,1,1,2,1,1,,1,1,1,31
14096,6,4,2,1,2,1,1,2,1,1,,1,1,1,26
14097,3,2,1,2,,,,,,,,,,,27
14098,6,3,3,1,2,2,2,2,1,2,1,1,1,1,4
14099,5,2,3,1,2,1,1,2,1,1,,3,1,3,19
14100,3,2,1,1,1,1,1,1,1,1,,2,2,1,2
14101,2,1,1,2,,,,,,,,,,,4
14102,7,3,4,1,2,1,1,2,1,1,,1,1,1,4
14103,3,1,2,2,,,,,,,,,,,17
14104,3,2,1,2,,,,,,,,,,,19
14105,1,0,1,2,,,,,,,,,,,19
14106,6,3,3,1,2,1,1,2,1,1,,1,1,3,4
14107,2,1,1,2,,,,,,,,,,,21
14108,1,1,0,2,,,,,,,,,,,21
14109,2,1,1,2,,,,,,,,,,,3
14110,2,1,1,2,,,,,,,,,,,19
14111,3,1,2,1,2,2,1,2,1,2,2,1,2,1,28
14112,2,1,1,2,,,,,,,,,,,20
14113,4,2,2,2,,,,,,,,,,,17
14114,1,1,0,2,,,,,,,,,,,17
14115,5,3,2,2,,,,,,,,,,,17
14116,4,1,3,1,2,2,1,2,1,2,6,1,1,1,3
14117,7,4,3,1,2,1,1,2,1,1,,1,1,1,3
14118,5,1,4,1,2,1,1,2,1,1,,3,4,2,28
14119,1,0,1,2,,,,,,,,,,,11
14120,4,3,1,1,2,1,1,2,1,1,,1,1,1,27
14121,1,1,0,2,,,,,,,,,,,20
14122,3,1,2,1,1,2,1,1,1,1,,1,1,2,1
14123,6,3,3,1,2,2,2,2,2,2,1,1,1,1,28
14124,6,3,3,1,2,2,2,1,1,2,1,1,1,1,31
14125,2,1,1,2,,,,,,,,,,,26
14126,3,2,1,1,2,2,1,2,2,1,,1,1,1,3
14127,5,3,2,1,2,2,1,2,1,2,6,1,1,1,27
14128,3,1,2,1,2,2,1,2,1,1,,1,1,2,27
14129,4,2,2,1,2,2,2,1,1,1,,1,1,1,11
14130,4,2,2,1,2,2,1,1,1,1,,1,1,1,29
14131,4,2,2,1,2,2,1,2,1,2,1,1,1,3,29
14132,2,0,2,2,,,,,,,,,,,31
14133,4,1,3,1,1,2,2,2,1,2,1,1,1,1,29
14134,4,2,2,1,2,2,2,2,1,2,1,1,1,2,29
14135,4,2,2,1,2,2,1,2,1,2,1,1,1,1,13
14136,5,2,3,1,2,2,1,2,1,2,1,1,1,1,20
14137,3,2,1,1,2,1,1,2,1,1,,1,1,2,20
14138,3,2,1,2,,,,,,,,,,,19
14139,2,1,1,2,,,,,,,,,,,20
14140,4,2,2,1,1,1,1,1,1,1,,1,1,1,26
14141,3,2,1,2,,,,,,,,,,,26
14142,6,5,1,1,1,1,1,2,1,1,,1,1,3,11
14143,4,2,2,1,2,2,1,2,1,1,,1,1,2,1
14144,4,2,2,1,1,1,1,1,1,1,,2,2,1,26
14145,12,7,5,1,2,2,1,2,1,1,,1,1,1,17
14146,3,1,2,1,1,1,1,1,1,1,,1,1,1,17
14147,8,4,4,1,2,2,2,2,1,2,1,1,1,1,17
14148,3,1,2,1,2,2,1,2,1,2,5,3,2,3,27
14149,5,4,1,2,,,,,,,,,,,17
14150,2,1,1,2,,,,,,,,,,,29
14151,4,3,1,1,2,2,1,2,1,2,7,1,1,2,21
14152,3,1,2,1,2,2,2,2,1,2,6,1,1,1,20
14153,4,1,3,1,1,1,1,1,1,1,,2,2,1,19
14154,6,2,4,1,2,2,2,2,1,2,6,1,1,2,20
14155,3,1,2,2,,,,,,,,,,,17
14156,4,1,3,1,2,2,1,2,1,1,,1,1,1,31
14157,6,2,4,1,2,2,1,2,2,2,6,1,1,1,20
14158,6,3,3,1,2,2,2,2,1,2,1,1,1,1,1
14159,4,2,2,1,2,2,1,2,1,1,,2,2,2,17
14160,6,5,1,1,2,1,1,2,1,1,,1,1,1,17
14161,4,2,2,1,2,1,1,1,1,1,,1,1,1,4
