FOLIO,N_REN,SEXO,EDAD,P3_1,PA3_1,PA3_2,PA3_3_NIVEL,PA3_4,PA3_5,PA3_6,PA3_7_1,PA3_7_2,PA3_7_3,PA3_8_1,PA3_8_2,PA3_8_3,PA3_8_4,PA3_8_5,PA3_8_6,PA3_8_7,PA3_8_8,PB3_1,PB3_2,PB3_3,FILTRO_A,PB3_4,PB3_5_NIVEL,PB3_6,PB3_7,PB3_8,PB3_9_1,PB3_9_2,PB3_9_3,PB3_10_1,PB3_10_2,PB3_10_3,PB3_10_4,PB3_10_5,PB3_11_1,PB3_11_2,PB3_11_3,PB3_11_4,PB3_11_5,PB3_12_1,PB3_12_2,PB3_12_3,PB3_12_4,PB3_12_5,PB3_12_6,PB3_12_7,PB3_12_8,FILTRO_B,PB3_13_1,PB3_13_2,PB3_13_3,PB3_13_4,PB3_13_5,PB3_13_6,PB3_13_7,PB3_14,PB3_15,PB3_16_1,PB3_16_2,PB3_16_3,PB3_16_4,PB3_16_5,ENT,NIVEL_A,GRADO_A,NIVEL_B,GRADO_B,FACTOR
5486,1,2,5,2,1,1,2,1,,4,,,,2,2,1,2,2,2,2,2,1,,1,2,,1,3,,1,2,2,1,2,2,1,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,12,7,2,2,2,2,1,13,2,1,1,2,1116
5486,3,1,9,2,1,1,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,1,2,,2,3,,1,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,8,7,2,2,2,2,1,13,3,3,2,4,1116
5486,2,1,7,2,1,1,3,1,,3,2,,,1,2,2,2,2,2,2,2,1,,1,2,,2,3,,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,8,7,1,2,2,2,2,13,3,1,2,2,1116
5487,1,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,2028
5487,2,1,25,1,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,2028
5488,1,1,17,2,1,1,6,1,,3,2,2,2,1,1,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,6,1,,,182
5489,1,1,14,1,1,1,4,1,,3,2,2,2,1,2,2,1,2,2,2,2,1,,1,2,,3,2,4,1,2,2,2,1,1,2,2,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,7,2,2,2,2,1,16,4,1,3,2,1645
5490,2,2,5,1,1,2,2,1,,4,,,,2,2,2,2,1,1,2,2,1,,2,2,,1,3,,1,1,2,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,2,2,1,1,1,1,2,2,2,2,2,5,8,2,2,2,2,1,13,2,2,1,3,1598
5490,3,1,7,1,1,2,3,1,,3,1,,,1,1,2,1,2,1,2,2,1,,2,2,,2,3,,1,1,1,2,1,1,1,1,2,1,2,1,2,2,2,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,10,8,2,2,2,2,1,13,3,1,2,2,1598
5490,1,2,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,1598
5492,2,1,17,1,1,1,7,1,,3,2,2,2,1,1,2,2,1,2,2,2,1,,1,2,,6,2,4,1,1,2,2,1,1,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,3,7,2,2,2,2,1,24,7,2,6,3,1684
5492,3,1,21,1,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,,,1684
5492,4,1,23,1,2,,,,,,,,,,,,,,,,,1,,2,2,,8,1,4,,1,1,1,1,1,1,1,9,1,1,1,1,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,24,,,8,1,1684
5492,1,1,7,1,1,1,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,1,2,,2,1,8,,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,10,7,1,2,2,1,2,24,3,1,2,2,1684
5494,2,1,27,6,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,849
5494,1,2,20,8,2,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,849
5495,1,2,17,1,1,1,7,1,,3,2,2,2,1,2,2,1,2,2,2,2,1,,1,2,,6,2,10,1,1,1,2,1,1,2,2,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,2,1,2,2,2,2,7,1,2,2,2,2,16,7,1,6,2,1666
5495,2,1,18,1,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1666
5495,3,1,25,1,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16,,,,,1666
5496,3,2,27,3,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,,,,,2712
5496,1,2,5,2,1,1,2,1,,4,,,,1,2,2,2,1,2,2,2,1,,1,2,,1,1,16,,2,2,2,1,1,1,1,2,2,1,2,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,10,8,2,2,2,2,1,28,2,2,1,3,2712
5496,2,2,8,2,1,1,3,1,,3,2,,,1,2,1,2,1,2,2,2,1,,1,2,,2,1,16,,1,1,2,1,1,1,1,2,1,1,2,2,2,2,2,2,1,2,1,2,2,1,1,1,2,2,2,2,2,10,8,2,2,2,2,1,28,3,2,2,3,2712
5497,1,2,18,10,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,1434
5499,2,2,9,4,1,1,3,1,,3,2,,,2,1,2,2,2,2,2,2,1,,1,2,,2,1,20,,2,2,2,1,1,1,1,2,2,1,2,1,2,2,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,5,7,2,2,2,2,1,24,3,2,2,3,1259
5499,1,2,7,4,1,1,3,1,,3,2,,,1,2,2,2,2,2,2,2,1,,1,2,,2,1,20,,2,2,2,1,1,1,1,2,2,1,2,1,2,1,2,1,2,2,1,2,2,1,2,1,2,2,2,2,2,5,7,2,2,2,2,1,24,3,1,2,2,1259
5502,1,1,9,6,1,1,3,1,,3,2,,,1,1,1,2,2,2,2,2,1,,1,2,,2,1,12,,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,5,7,1,2,2,2,2,4,3,4,2,5,102
5503,1,2,8,1,1,1,3,1,,3,2,,,1,1,1,2,2,2,2,2,1,,1,2,,2,3,,1,2,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,2,7,2,2,2,2,1,19,3,2,2,3,2907
5503,3,1,18,1,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,,,2907
5503,2,2,15,1,1,1,4,1,,3,2,1,2,1,1,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,4,3,,,2907
5508,3,1,22,1,1,1,9,1,,3,2,2,2,1,2,1,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,4,,,313
5508,1,1,16,1,1,1,6,1,,3,2,2,2,1,2,1,2,2,2,2,2,1,,1,2,,5,3,,1,1,1,1,2,2,1,2,2,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,27,6,2,5,2,313
5508,2,1,22,1,1,1,9,1,,3,2,2,2,1,2,1,2,2,2,2,2,1,,1,2,,8,3,,1,1,1,1,2,2,2,1,2,1,2,2,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,27,9,4,8,4,313
5512,2,2,9,1,1,2,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,2,2,,2,1,20,,2,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,8,2,2,2,2,1,18,3,3,2,4,543
5512,3,1,12,1,1,2,3,1,,3,2,,,1,1,2,2,2,2,2,2,1,,2,2,,3,1,20,,2,2,2,1,1,1,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,8,2,2,2,2,1,18,3,6,3,1,543
5512,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,543
5513,1,1,9,2,1,1,3,1,,3,2,,,1,1,1,1,1,2,2,2,1,,1,2,,2,1,20,,1,2,2,1,1,2,2,2,1,1,1,1,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,10,7,1,2,2,2,2,19,3,3,2,4,2148
5514,4,2,23,5,2,,,,,,,,,,,,,,,,,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,1092
5514,3,1,20,10,1,1,9,1,,3,2,2,2,1,1,2,2,2,2,1,2,1,,1,2,,8,3,,1,1,2,2,2,1,1,1,2,1,1,1,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,20,9,2,8,3,1092
