FOLIO,N_REN,SEXO,EDAD,P3_1,PA3_1,PA3_2,PA3_3_NIVEL,PA3_4,PA3_5,PA3_6,PA3_7_1,PA3_7_2,PA3_7_3,PA3_8_1,PA3_8_2,PA3_8_3,PA3_8_4,PA3_8_5,PA3_8_6,PA3_8_7,PA3_8_8,PB3_1,PB3_2,PB3_3,FILTRO_A,PB3_4,PB3_5_NIVEL,PB3_6,PB3_7,PB3_8,PB3_9_1,PB3_9_2,PB3_9_3,PB3_10_1,PB3_10_2,PB3_10_3,PB3_10_4,PB3_10_5,PB3_11_1,PB3_11_2,PB3_11_3,PB3_11_4,PB3_11_5,PB3_12_1,PB3_12_2,PB3_12_3,PB3_12_4,PB3_12_5,PB3_12_6,PB3_12_7,PB3_12_8,FILTRO_B,PB3_13_1,PB3_13_2,PB3_13_3,PB3_13_4,PB3_13_5,PB3_13_6,PB3_13_7,PB3_14,PB3_15,PB3_16_1,PB3_16_2,PB3_16_3,PB3_16_4,PB3_16_5,ENT,NIVEL_A,GRADO_A,NIVEL_B,GRADO_B,FACTOR
5514,1,1,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,1092
5514,2,2,6,4,2,,,,,,,,,,,,,,,,,1,,1,2,,2,3,,1,1,2,2,1,2,9,9,9,2,1,2,2,2,1,2,2,2,2,2,2,2,1,1,2,2,2,2,2,2,4,4,2,2,2,2,1,20,,,2,2,1092
5516,2,1,12,1,1,1,4,1,,3,2,2,2,2,1,2,2,2,2,2,2,1,,1,2,,3,1,12,,1,2,2,1,1,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,7,7,2,2,2,2,1,8,4,1,3,2,1683
5516,3,2,16,1,1,1,6,1,,3,2,2,2,1,2,2,2,2,2,2,2,1,,1,2,,5,2,8,1,1,1,2,1,2,2,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,2,2,2,2,2,2,3,7,2,2,2,2,1,8,6,1,5,2,1683
5516,1,2,9,1,2,,,,,,,,,,,,,,,,,1,,1,2,,2,1,12,,2,2,2,1,1,2,2,2,2,1,2,1,2,2,2,2,2,2,1,2,2,1,1,2,1,2,2,2,2,5,7,2,2,2,2,1,8,,,2,3,1683
5521,1,1,16,1,1,1,6,1,,3,2,2,2,1,2,1,2,2,2,2,2,1,,1,2,,6,3,,1,1,1,2,2,2,1,2,2,2,1,1,2,2,1,1,2,2,2,2,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,27,6,2,6,2,439
5521,3,1,22,1,1,1,9,1,,3,2,2,2,1,2,1,2,2,2,2,2,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27,9,4,,,439
5521,2,1,22,1,1,1,9,1,,3,2,2,2,1,2,1,2,2,2,2,2,1,,1,2,,8,3,,1,1,1,2,2,2,2,1,2,1,2,1,2,2,1,1,2,2,2,2,2,2,2,,,,,,,,,,2,2,2,2,1,27,9,4,8,4,439
5522,3,2,26,8,2,,,,,,,,,,,,,,,,,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,423
5522,1,1,0,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,423
5522,2,1,23,2,2,,,,,,,,,,,,,,,,,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,423
5523,1,1,28,1,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,,,223
5525,2,1,22,2,2,,,,,,,,,,,,,,,,,1,,2,2,,8,3,,1,1,2,2,1,1,1,1,2,2,1,1,2,2,2,1,2,2,2,1,2,2,2,,,,,,,,,,1,1,1,1,2,23,,,8,1,1010
5525,1,2,19,2,2,,,,,,,,,,,,,,,,,1,,2,2,,8,3,,1,1,2,2,1,1,1,1,2,2,1,1,2,2,1,1,2,2,2,1,2,2,2,,,,,,,,,,2,2,1,2,2,23,,,8,1,1010
5525,3,2,26,2,2,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,,,,,1010
5526,1,1,16,2,1,2,6,1,,3,2,2,2,1,1,2,2,1,2,2,2,1,,2,2,,5,2,12,1,9,9,1,1,1,1,1,9,2,2,1,1,2,1,1,1,2,2,1,2,2,1,2,2,2,2,2,2,1,,7,2,2,2,2,1,8,6,1,5,2,728
5527,1,2,5,1,1,1,2,1,,4,,,,2,2,2,2,2,2,2,1,1,,1,2,,1,1,8,,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,2,1,2,2,2,4,7,2,2,2,2,1,9,2,2,1,3,3682
5529,2,2,12,1,1,1,4,1,,3,1,2,2,1,2,2,2,2,2,2,2,1,,1,2,,3,1,20,,1,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,2,2,8,7,2,2,2,2,1,16,4,1,3,2,2102
5529,1,1,9,1,1,1,3,1,,3,2,,,1,2,2,2,2,2,2,2,1,,1,2,,2,1,20,,1,2,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,1,1,2,2,2,2,2,2,14,7,2,2,2,2,1,16,3,3,2,4,2102
5529,3,2,19,1,1,1,8,1,,3,2,2,2,1,2,2,2,2,2,2,2,1,,1,2,,7,1,16,,1,2,2,1,1,1,1,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,,,,,,,,,,2,2,2,2,1,16,8,1,7,2,2102
5530,2,1,21,1,1,1,9,1,,3,2,1,2,1,1,2,2,1,2,2,2,1,,1,2,,8,2,10,1,1,1,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,2,,,,,,,,,,2,2,1,2,2,25,9,1,8,2,1443
5530,3,2,26,7,2,,,,,,,,,,,,,,,,,2,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,1443
5530,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25,,,,,1443
